School ID,Year,Test Name,# Students Tested,Overall ELA Mean Scale Score,Overall ELA % Did Not Meet,Overall ELA % Partially Met,Overall ELA % Approached,Overall ELA % Met,Overall ELA % Exceeded,Overall ELA % Met or Exceeded,Reading Mean Scale Score,Reading Literary Text % Did Not Yet Meet or Partially Met,Reading Literary Text % Approached,Reading Literary Text % Met or Exceeded,Reading Information % Did Not Yet Meet or Partially Met,Reading Information % Approached,Reading Information % Met or Exceeded,Vocabulary % Did Not Yet Meet or Partially Met,Vocabulary % Approached,Vocabulary % Met or Exceeded,Writing Mean Scale Score,Writing Expression % Did Not Yet Meet or Partially Met,Writing Expression % Approached,Writing Expression % Met or Exceeded,Writing Conventions % Did Not Yet Meet or Partially Met,Writing Conventions % Approached,Writing Conventions % Met or Exceeded
610256,2017,Combined ELA Grades 3-8,25, ,24.00%,24.00%,24.00%,28.00%,0.00%,28.00%, ,60.00%,24.00%,16.00%,48.00%,32.00%,20.00%,44.00%,20.00%,36.00%, ,40.00%,12.00%,48.00%,52.00%,36.00%,12.00%
610257,2017,Combined ELA Grades 3-8,228, ,32.90%,29.40%,25.00%,11.00%,1.80%,12.70%, ,61.00%,21.10%,18.00%,62.70%,22.80%,14.50%,62.30%,21.50%,16.20%, ,63.60%,19.70%,16.70%,65.40%,17.10%,17.50%
610263,2017,Combined ELA Grades 3-8,355, ,44.20%,35.80%,16.60%,3.40%,0.00%,3.40%, ,74.60%,16.30%,9.00%,74.10%,17.50%,8.50%,73.50%,17.20%,9.30%, ,86.20%,8.20%,5.60%,81.10%,12.40%,6.50%
610268,2017,Combined ELA Grades 3-8,203, ,30.50%,34.50%,24.10%,10.80%,0.00%,10.80%, ,61.60%,24.10%,14.30%,59.60%,28.60%,11.80%,62.60%,21.20%,16.30%, ,69.50%,20.20%,10.30%,65.50%,23.20%,11.30%
610269,2017,Combined ELA Grades 3-8,198, ,14.60%,19.70%,31.80%,29.30%,4.50%,33.80%, ,43.40%,25.30%,31.30%,44.90%,25.30%,29.80%,48.50%,25.80%,25.80%, ,32.80%,16.70%,50.50%,29.30%,25.30%,45.50%
610271,2017,Combined ELA Grades 3-8,257, ,37.00%,29.60%,24.10%,8.90%,0.40%,9.30%, ,67.70%,13.20%,19.10%,63.80%,24.50%,11.70%,65.40%,20.60%,14.00%, ,73.90%,14.80%,11.30%,65.40%,22.20%,12.50%
610274,2017,Combined ELA Grades 3-8,287, ,32.10%,29.30%,27.50%,10.80%,0.30%,11.10%, ,62.00%,23.30%,14.60%,61.70%,25.80%,12.50%,59.60%,24.40%,16.00%, ,67.20%,17.10%,15.70%,64.50%,21.30%,14.30%
610276,2017,Combined ELA Grades 3-8,110, ,44.50%,23.60%,20.00%,11.80%,0.00%,11.80%, ,70.00%,13.60%,16.40%,67.30%,14.50%,18.20%,60.00%,18.20%,21.80%, ,73.60%,14.50%,11.80%,63.60%,15.50%,20.90%
610279,2017,Combined ELA Grades 3-8,214, ,39.70%,27.60%,23.40%,9.30%,0.00%,9.30%, ,62.60%,22.40%,15.00%,62.60%,22.90%,14.50%,63.60%,21.50%,15.00%, ,75.20%,15.00%,9.80%,69.20%,18.70%,12.10%
610281,2017,Combined ELA Grades 3-8,387, ,28.40%,30.20%,25.10%,15.80%,0.50%,16.30%, ,58.40%,24.00%,17.60%,56.80%,27.40%,15.80%,54.50%,24.50%,20.90%, ,67.70%,15.50%,16.80%,62.80%,21.70%,15.50%
610282,2017,Combined ELA Grades 3-8,204, ,38.70%,32.40%,22.50%,6.40%,0.00%,6.40%, ,63.70%,24.50%,11.80%,64.20%,23.50%,12.30%,65.20%,25.00%,9.80%, ,79.40%,14.20%,6.40%,77.90%,16.20%,5.90%
610284,2017,Combined ELA Grades 3-8,178, ,21.30%,29.80%,25.30%,21.90%,1.70%,23.60%, ,54.50%,23.00%,22.50%,50.60%,24.20%,25.30%,55.10%,21.30%,23.60%, ,53.40%,18.00%,28.70%,47.20%,20.20%,32.60%
610287,2017,Combined ELA Grades 3-8,295, ,21.70%,28.80%,30.50%,18.30%,0.70%,19.00%, ,53.90%,26.10%,20.00%,54.90%,25.40%,19.70%,52.50%,24.70%,22.70%, ,52.50%,22.00%,25.40%,52.50%,21.40%,26.10%
610290,2017,Combined ELA Grades 3-8,208, ,32.20%,27.40%,28.80%,10.60%,1.00%,11.50%, ,62.50%,20.70%,16.80%,59.60%,27.40%,13.00%,53.80%,28.40%,17.80%, ,67.30%,19.70%,13.00%,61.10%,22.10%,16.80%
610291,2017,Combined ELA Grades 3-8,560, ,13.40%,25.20%,30.00%,27.90%,3.60%,31.40%, ,43.20%,27.10%,29.60%,43.40%,27.10%,29.50%,45.20%,25.20%,29.60%, ,40.40%,21.40%,38.20%,36.60%,22.90%,40.50%
610293,2017,Combined ELA Grades 3-8,270, ,39.60%,32.60%,21.90%,5.60%,0.40%,5.90%, ,71.10%,18.10%,10.70%,71.10%,20.40%,8.50%,71.10%,16.30%,12.60%, ,75.90%,16.70%,7.40%,73.00%,18.90%,8.10%
610295,2017,Combined ELA Grades 3-8,183, ,25.70%,20.20%,29.50%,24.60%,0.00%,24.60%, ,47.00%,26.20%,26.80%,53.60%,21.30%,25.10%,49.70%,22.40%,27.90%, ,46.40%,24.60%,29.00%,50.80%,26.20%,23.00%
610298,2017,Combined ELA Grades 3-8,163, ,1.20%,3.10%,16.00%,55.80%,23.90%,79.80%, ,10.40%,12.30%,77.30%,4.30%,12.90%,82.80%,2.50%,14.70%,82.80%, ,14.10%,14.70%,71.20%,11.00%,13.50%,75.50%
610299,2017,Combined ELA Grades 3-8,131, ,48.90%,30.50%,18.30%,2.30%,0.00%,2.30%, ,77.10%,14.50%,8.40%,77.10%,17.60%,5.30%,67.20%,17.60%,15.30%, ,84.70%,10.70%,4.60%,77.10%,14.50%,8.40%
610300,2017,Combined ELA Grades 3-8,235, ,35.30%,32.30%,24.70%,7.70%,0.00%,7.70%, ,62.10%,23.40%,14.50%,70.20%,20.00%,9.80%,63.00%,23.80%,13.20%, ,74.00%,14.90%,11.10%,68.50%,21.70%,9.80%
610305,2017,Combined ELA Grades 3-8,304, ,51.00%,29.30%,14.10%,5.60%,0.00%,5.60%, ,76.00%,14.10%,9.90%,75.30%,19.10%,5.60%,75.70%,15.50%,8.90%, ,80.60%,13.80%,5.60%,78.30%,15.10%,6.60%
610312,2017,Combined ELA Grades 3-8,74, ,4.10%,27.00%,23.00%,40.50%,5.40%,45.90%, ,37.80%,23.00%,39.20%,37.80%,21.60%,40.50%,35.10%,14.90%,50.00%, ,31.10%,10.80%,58.10%,24.30%,18.90%,56.80%
610313,2017,Combined ELA Grades 3-8,325, ,42.80%,26.80%,19.40%,10.80%,0.30%,11.10%, ,68.30%,19.10%,12.60%,63.40%,21.80%,14.80%,64.30%,19.10%,16.60%, ,75.10%,12.60%,12.30%,68.90%,16.90%,14.20%
610315,2017,Combined ELA Grades 3-8,102, ,50.00%,20.60%,19.60%,9.80%,0.00%,9.80%, ,70.60%,15.70%,13.70%,75.50%,16.70%,7.80%,65.70%,17.60%,16.70%, ,73.50%,10.80%,15.70%,71.60%,13.70%,14.70%
610316,2017,Combined ELA Grades 3-8,167, ,5.40%,10.20%,34.10%,43.70%,6.60%,50.30%, ,25.10%,26.30%,48.50%,30.50%,25.70%,43.70%,28.10%,24.60%,47.30%, ,25.70%,18.00%,56.30%,17.40%,21.00%,61.70%
610317,2017,Combined ELA Grades 3-8,326, ,26.40%,32.80%,28.20%,11.00%,1.50%,12.60%, ,64.40%,19.90%,15.60%,58.60%,25.80%,15.60%,59.80%,22.10%,18.10%, ,63.80%,21.20%,15.00%,58.30%,25.80%,16.00%
610319,2017,Combined ELA Grades 3-8,299, ,15.40%,24.40%,32.80%,25.40%,2.00%,27.40%, ,43.50%,27.80%,28.80%,42.10%,27.80%,30.10%,48.20%,26.80%,25.10%, ,43.80%,27.10%,29.10%,41.50%,29.80%,28.80%
610325,2017,Combined ELA Grades 3-8,446, ,21.50%,28.30%,29.60%,20.00%,0.70%,20.60%, ,51.80%,25.30%,22.90%,52.50%,28.70%,18.80%,55.40%,26.90%,17.70%, ,52.20%,19.30%,28.50%,47.80%,26.00%,26.20%
610329,2017,Combined ELA Grades 3-8,425, ,16.90%,20.50%,26.80%,33.40%,2.40%,35.80%, ,39.30%,21.60%,39.10%,38.60%,26.10%,35.30%,37.60%,23.80%,38.60%, ,47.80%,21.20%,31.10%,42.80%,26.10%,31.10%
610339,2017,Combined ELA Grades 3-8,274, ,48.20%,28.10%,17.50%,6.20%,0.00%,6.20%, ,74.10%,15.70%,10.20%,70.40%,17.50%,12.00%,68.20%,21.20%,10.60%, ,85.40%,6.20%,8.40%,77.40%,15.00%,7.70%
610342,2017,Combined ELA Grades 3-8,381, ,32.30%,29.70%,22.80%,14.20%,1.00%,15.20%, ,60.90%,20.20%,18.90%,61.40%,18.90%,19.70%,54.90%,19.90%,25.20%, ,72.70%,14.40%,12.90%,63.50%,19.40%,17.10%
610345,2017,Combined ELA Grades 3-8,203, ,36.50%,32.00%,22.20%,8.90%,0.50%,9.40%, ,66.00%,22.20%,11.80%,65.50%,23.60%,10.80%,59.10%,24.10%,16.70%, ,76.40%,13.80%,9.90%,71.40%,19.20%,9.40%
610347,2017,Combined ELA Grades 3-8,233, ,32.60%,36.10%,21.50%,9.40%,0.40%,9.90%, ,60.10%,24.00%,15.90%,66.50%,21.90%,11.60%,65.20%,20.20%,14.60%, ,74.20%,17.60%,8.20%,76.40%,15.50%,8.20%
610350,2017,Combined ELA Grades 3-8,304, ,9.20%,20.70%,32.20%,37.20%,0.70%,37.80%, ,35.50%,28.00%,36.50%,37.20%,28.30%,34.50%,34.50%,29.30%,36.20%, ,37.50%,22.40%,40.10%,31.30%,24.00%,44.70%
610352,2017,Combined ELA Grades 3-8,425, ,8.50%,21.60%,30.60%,36.90%,2.40%,39.30%, ,36.00%,28.20%,35.80%,32.50%,29.40%,38.10%,35.50%,24.90%,39.50%, ,36.70%,21.40%,41.90%,31.30%,27.10%,41.60%
610353,2017,Combined ELA Grades 3-8,488, ,32.60%,23.40%,26.20%,16.80%,1.00%,17.80%, ,58.80%,22.50%,18.60%,58.80%,22.10%,19.10%,61.90%,20.30%,17.80%, ,56.60%,20.10%,23.40%,53.50%,22.50%,24.00%
610354,2017,Combined ELA Grades 3-8,179, ,18.40%,26.80%,27.90%,24.00%,2.80%,26.80%, ,51.40%,20.70%,27.90%,48.00%,24.00%,27.90%,49.20%,26.30%,24.60%, ,52.00%,20.10%,27.90%,52.00%,20.10%,27.90%
610355,2017,Combined ELA Grades 3-8,203, ,21.20%,22.70%,27.10%,28.10%,1.00%,29.10%, ,43.30%,26.60%,30.00%,48.80%,25.60%,25.60%,47.30%,26.10%,26.60%, ,46.80%,20.20%,33.00%,44.80%,20.20%,35.00%
610362,2017,Combined ELA Grades 3-8,202, ,25.70%,26.20%,29.20%,18.30%,0.50%,18.80%, ,56.90%,23.30%,19.80%,54.50%,25.70%,19.80%,44.10%,30.70%,25.20%, ,57.40%,25.70%,16.80%,53.00%,24.80%,22.30%
610363,2017,Combined ELA Grades 3-8,886, ,7.00%,13.70%,26.40%,45.10%,7.80%,52.90%, ,25.80%,21.80%,52.40%,26.40%,21.70%,51.90%,23.00%,24.20%,52.80%, ,28.80%,20.00%,51.20%,23.30%,21.80%,55.00%
610364,2017,Combined ELA Grades 3-8,155, ,29.00%,33.50%,22.60%,14.80%,0.00%,14.80%, ,64.50%,20.00%,15.50%,64.50%,20.60%,14.80%,67.70%,19.40%,12.90%, ,60.60%,18.10%,21.30%,57.40%,25.80%,16.80%
610366,2017,Combined ELA Grades 3-8,145, ,26.20%,31.00%,26.90%,14.50%,1.40%,15.90%, ,60.70%,22.10%,17.20%,58.60%,22.80%,18.60%,46.90%,31.70%,21.40%, ,64.10%,24.10%,11.70%,55.20%,25.50%,19.30%
610367,2017,Combined ELA Grades 3-8,347, ,34.90%,32.90%,19.90%,12.40%,0.00%,12.40%, ,65.10%,20.50%,14.40%,66.60%,18.70%,14.70%,62.50%,22.50%,15.00%, ,70.30%,16.10%,13.50%,68.60%,17.90%,13.50%
610368,2017,Combined ELA Grades 3-8,252, ,25.40%,27.80%,31.70%,14.30%,0.80%,15.10%, ,57.10%,24.60%,18.30%,65.50%,22.60%,11.90%,58.30%,24.20%,17.50%, ,50.80%,24.20%,25.00%,46.80%,29.80%,23.40%
610369,2017,Combined ELA Grades 3-8,169, ,37.90%,28.40%,25.40%,8.30%,0.00%,8.30%, ,69.80%,20.10%,10.10%,67.50%,19.50%,13.00%,71.00%,18.30%,10.70%, ,71.00%,17.80%,11.20%,63.30%,20.70%,16.00%
610391,2017,Combined ELA Grades 3-8,57, ,5.30%,10.50%,28.10%,43.90%,12.30%,56.10%, ,15.80%,29.80%,54.40%,15.80%,29.80%,54.40%,19.30%,19.30%,61.40%, ,26.30%,28.10%,45.60%,19.30%,28.10%,52.60%
610396,2017,Combined ELA Grades 3-8,649, ,21.70%,28.70%,27.00%,21.90%,0.80%,22.70%, ,51.90%,24.50%,23.60%,55.00%,25.40%,19.60%,52.70%,24.00%,23.30%, ,52.10%,22.00%,25.90%,48.50%,22.50%,29.00%
610405,2017,Combined ELA Grades 3-8,143, ,25.20%,31.50%,26.60%,16.80%,0.00%,16.80%, ,58.70%,21.00%,20.30%,58.00%,21.00%,21.00%,49.70%,25.20%,25.20%, ,63.60%,15.40%,21.00%,61.50%,11.90%,26.60%
610503,2017,Combined ELA Grades 3-8,138, ,8.00%,17.40%,34.80%,38.40%,1.40%,39.90%, ,33.30%,26.80%,39.90%,34.80%,29.00%,36.20%,31.20%,29.00%,39.90%, ,19.60%,32.60%,47.80%,23.90%,28.30%,47.80%
610515,2017,Combined ELA Grades 3-8,192, ,5.70%,14.10%,27.60%,41.10%,11.50%,52.60%, ,27.60%,20.80%,51.60%,26.60%,18.80%,54.70%,21.40%,19.30%,59.40%, ,28.10%,19.80%,52.10%,20.80%,20.80%,58.30%
610520,2017,Combined ELA Grades 3-8,336, ,4.50%,11.90%,22.30%,47.90%,13.40%,61.30%, ,19.60%,25.60%,54.80%,20.50%,20.50%,58.90%,20.20%,24.40%,55.40%, ,22.90%,19.60%,57.40%,17.30%,21.10%,61.60%
610521,2017,Combined ELA Grades 3-8,177, ,11.90%,26.60%,35.00%,25.40%,1.10%,26.60%, ,44.10%,23.20%,32.80%,48.60%,25.40%,26.00%,40.70%,27.10%,32.20%, ,48.60%,24.30%,27.10%,44.10%,28.20%,27.70%
610523,2017,Combined ELA Grades 3-8,344, ,1.50%,12.20%,26.70%,52.90%,6.70%,59.60%, ,19.20%,24.10%,56.70%,16.60%,27.00%,56.40%,18.00%,29.10%,52.90%, ,22.10%,23.30%,54.70%,14.20%,26.20%,59.60%
610529,2017,Combined ELA Grades 3-8,177, ,23.70%,22.00%,19.20%,26.00%,9.00%,35.00%, ,44.10%,20.90%,35.00%,44.10%,19.80%,36.20%,41.80%,22.00%,36.20%, ,50.30%,17.50%,32.20%,45.80%,21.50%,32.80%
610530,2017,Combined ELA Grades 3-8,238, ,23.10%,26.10%,30.70%,19.30%,0.80%,20.20%, ,53.80%,22.70%,23.50%,54.20%,23.90%,21.80%,51.70%,27.30%,21.00%, ,55.50%,22.70%,21.80%,53.80%,21.00%,25.20%
610532,2017,Combined ELA Grades 3-8,993, ,24.70%,26.40%,29.00%,18.40%,1.50%,19.90%, ,51.20%,25.50%,23.40%,50.50%,27.50%,22.10%,54.10%,24.50%,21.50%, ,54.20%,23.70%,22.20%,52.60%,25.90%,21.60%
610533,2017,Combined ELA Grades 3-8,614, ,23.30%,28.30%,28.70%,18.70%,1.00%,19.70%, ,56.70%,23.10%,20.20%,50.20%,27.00%,22.80%,58.60%,22.50%,18.90%, ,53.10%,20.80%,26.10%,47.70%,23.80%,28.50%
610534,2017,Combined ELA Grades 3-8,290, ,0.00%,0.00%,5.50%,45.20%,49.30%,94.50%, ,3.10%,5.50%,91.40%,0.70%,5.90%,93.40%,3.40%,9.70%,86.90%, ,2.80%,6.90%,90.30%,2.40%,6.90%,90.70%
610539,2017,Combined ELA Grades 3-8,547, ,21.60%,24.30%,31.40%,21.20%,1.50%,22.70%, ,49.00%,25.40%,25.60%,50.10%,28.30%,21.60%,51.70%,25.40%,22.90%, ,52.70%,21.00%,26.30%,48.30%,22.50%,29.30%
610541,2017,Combined ELA Grades 3-8,535, ,13.60%,22.80%,30.80%,30.10%,2.60%,32.70%, ,43.90%,28.00%,28.00%,43.40%,27.10%,29.50%,47.90%,25.80%,26.40%, ,34.60%,21.30%,44.10%,30.80%,23.20%,46.00%
610542,2017,Combined ELA Grades 3-8,467, ,9.90%,15.00%,25.10%,37.50%,12.60%,50.10%, ,30.40%,27.60%,42.00%,31.90%,23.60%,44.50%,43.30%,23.30%,33.40%, ,24.00%,13.50%,62.50%,21.20%,15.40%,63.40%
610544,2017,Combined ELA Grades 3-8,647, ,11.40%,16.80%,34.30%,33.50%,3.90%,37.40%, ,40.00%,27.80%,32.10%,38.60%,29.10%,32.30%,45.70%,26.70%,27.50%, ,30.00%,21.80%,48.20%,26.60%,19.60%,53.80%
610548,2017,Combined ELA Grades 3-8,252, ,1.60%,6.70%,20.20%,54.00%,17.50%,71.40%, ,15.50%,18.30%,66.30%,12.70%,20.20%,67.10%,19.00%,21.00%,59.90%, ,11.50%,12.30%,76.20%,8.70%,15.50%,75.80%
610559,2017,Combined ELA Grades 3-8,622, ,29.40%,32.20%,23.00%,14.30%,1.10%,15.40%, ,59.30%,20.70%,19.90%,59.30%,23.60%,17.00%,61.90%,19.60%,18.50%, ,63.70%,19.30%,17.00%,62.20%,23.20%,14.60%
610564,2017,Combined ELA Grades 3-8,162, ,21.00%,21.00%,28.40%,25.30%,4.30%,29.60%, ,45.70%,18.50%,35.80%,40.10%,25.30%,34.60%,42.60%,21.60%,35.80%, ,51.20%,17.30%,31.50%,46.90%,22.20%,30.90%
610572,2017,Combined ELA Grades 3-8,13, ,46.20%,53.80%,0.00%,0.00%,0.00%,0.00%, ,84.60%,15.40%,0.00%,84.60%,15.40%,0.00%,76.90%,23.10%,0.00%, ,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%
610584,2017,Combined ELA Grades 3-8,14, ,50.00%,35.70%,14.30%,0.00%,0.00%,0.00%, ,85.70%,7.10%,7.10%,85.70%,7.10%,7.10%,64.30%,21.40%,14.30%, ,92.90%,7.10%,0.00%,85.70%,14.30%,0.00%
610586,2017,Combined ELA Grades 3-8,243, ,19.30%,25.50%,29.20%,24.70%,1.20%,25.90%, ,47.70%,23.90%,28.40%,51.00%,25.10%,23.90%,49.80%,27.60%,22.60%, ,48.10%,21.80%,30.00%,40.70%,23.00%,36.20%
610588,2017,Combined ELA Grades 3-8,"1,113", ,18.00%,26.40%,32.00%,22.30%,1.30%,23.60%, ,45.00%,29.80%,25.20%,45.90%,27.70%,26.40%,48.90%,25.70%,25.40%, ,51.40%,23.30%,25.30%,46.90%,27.10%,26.00%
400009,2017,ELA/Literacy Grade 3,48,737,18.80%,18.80%,20.80%,39.60%,2.10%,41.70%,44,39.60%,22.90%,37.50%,45.80%,20.80%,33.30%,39.60%,18.80%,41.70%,32,35.40%,27.10%,37.50%,22.90%,33.30%,43.80%
400011,2017,ELA/Literacy Grade 3,57,745,10.50%,8.80%,43.90%,36.80%,0.00%,36.80%,48,29.80%,29.80%,40.40%,31.60%,29.80%,38.60%,26.30%,19.30%,54.40%,33,31.60%,24.60%,43.90%,26.30%,17.50%,56.10%
400021,2017,ELA/Literacy Grade 3,58,721,29.30%,27.60%,19.00%,22.40%,1.70%,24.10%,39,58.60%,17.20%,24.10%,48.30%,27.60%,24.10%,48.30%,20.70%,31.00%,27,62.10%,19.00%,19.00%,51.70%,19.00%,29.30%
400023,2017,ELA/Literacy Grade 3,55,741,12.70%,18.20%,25.50%,40.00%,3.60%,43.60%,44,41.80%,25.50%,32.70%,43.60%,21.80%,34.50%,32.70%,30.90%,36.40%,34,29.10%,14.50%,56.40%,21.80%,23.60%,54.50%
400024,2017,ELA/Literacy Grade 3,93,736,15.10%,17.20%,36.60%,30.10%,1.10%,31.20%,42,53.80%,20.40%,25.80%,39.80%,26.90%,33.30%,44.10%,17.20%,38.70%,34,32.30%,29.00%,38.70%,19.40%,23.70%,57.00%
400025,2017,ELA/Literacy Grade 3,79,715,29.10%,25.30%,31.60%,13.90%,0.00%,13.90%,36,59.50%,25.30%,15.20%,68.40%,20.30%,11.40%,53.20%,25.30%,21.50%,26,58.20%,25.30%,16.50%,46.80%,13.90%,39.20%
400027,2017,ELA/Literacy Grade 3,59,725,23.70%,28.80%,20.30%,25.40%,1.70%,27.10%,41,55.90%,16.90%,27.10%,52.50%,22.00%,25.40%,49.20%,15.30%,35.60%,27,61.00%,18.60%,20.30%,44.10%,25.40%,30.50%
400028,2017,ELA/Literacy Grade 3,58,713,41.40%,22.40%,22.40%,13.80%,0.00%,13.80%,35,67.20%,17.20%,15.50%,58.60%,24.10%,17.20%,69.00%,12.10%,19.00%,27,63.80%,17.20%,19.00%,44.80%,24.10%,31.00%
400029,2017,ELA/Literacy Grade 3,58,737,19.00%,20.70%,24.10%,31.00%,5.20%,36.20%,44,44.80%,17.20%,37.90%,48.30%,19.00%,32.80%,36.20%,25.90%,37.90%,33,44.80%,20.70%,34.50%,25.90%,19.00%,55.20%
400030,2017,ELA/Literacy Grade 3,60,734,21.70%,16.70%,25.00%,35.00%,1.70%,36.70%,44,50.00%,15.00%,35.00%,36.70%,26.70%,36.70%,38.30%,13.30%,48.30%,30,45.00%,23.30%,31.70%,35.00%,18.30%,46.70%
400031,2017,ELA/Literacy Grade 3,91,728,25.30%,24.20%,15.40%,31.90%,3.30%,35.20%,42,52.70%,22.00%,25.30%,47.30%,22.00%,30.80%,41.80%,19.80%,38.50%,28,50.50%,17.60%,31.90%,40.70%,15.40%,44.00%
400033,2017,ELA/Literacy Grade 3,138,720,31.90%,16.70%,26.80%,24.60%,0.00%,24.60%,38,58.70%,18.80%,22.50%,54.30%,23.20%,22.50%,52.90%,22.50%,24.60%,27,56.50%,21.00%,22.50%,44.90%,20.30%,34.80%
400036,2017,ELA/Literacy Grade 3,51,719,29.40%,35.30%,15.70%,15.70%,3.90%,19.60%,41,49.00%,19.60%,31.40%,66.70%,7.80%,25.50%,54.90%,19.60%,25.50%,22,80.40%,9.80%,9.80%,72.50%,5.90%,21.60%
400039,2017,ELA/Literacy Grade 3,45,708,46.70%,22.20%,15.60%,15.60%,0.00%,15.60%,33,75.60%,8.90%,15.60%,62.20%,24.40%,13.30%,68.90%,15.60%,15.60%,25,66.70%,22.20%,11.10%,57.80%,11.10%,31.10%
400040,2017,ELA/Literacy Grade 3,49,711,40.80%,20.40%,18.40%,20.40%,0.00%,20.40%,34,67.30%,18.40%,14.30%,61.20%,28.60%,10.20%,69.40%,18.40%,12.20%,26,69.40%,12.20%,18.40%,51.00%,18.40%,30.60%
400043,2017,ELA/Literacy Grade 3,63,708,47.60%,27.00%,14.30%,9.50%,1.60%,11.10%,35,81.00%,6.30%,12.70%,61.90%,19.00%,19.00%,60.30%,17.50%,22.20%,23,81.00%,15.90%,3.20%,54.00%,30.20%,15.90%
400044,2017,ELA/Literacy Grade 3,103,704,46.60%,24.30%,18.40%,9.70%,1.00%,10.70%,32,78.60%,8.70%,12.60%,66.00%,22.30%,11.70%,72.80%,10.70%,16.50%,22,71.80%,14.60%,13.60%,61.20%,19.40%,19.40%
400045,2017,ELA/Literacy Grade 3,23,710,34.80%,39.10%,21.70%,4.30%,0.00%,4.30%,32,73.90%,17.40%,8.70%,82.60%,13.00%,4.30%,91.30%,0.00%,8.70%,28,47.80%,43.50%,8.70%,47.80%,30.40%,21.70%
400046,2017,ELA/Literacy Grade 3,64,726,21.90%,20.30%,32.80%,23.40%,1.60%,25.00%,41,62.50%,15.60%,21.90%,46.90%,25.00%,28.10%,48.40%,14.10%,37.50%,28,53.10%,21.90%,25.00%,45.30%,25.00%,29.70%
400047,2017,ELA/Literacy Grade 3,86,721,32.60%,24.40%,16.30%,26.70%,0.00%,26.70%,36,66.30%,16.30%,17.40%,51.20%,25.60%,23.30%,58.10%,14.00%,27.90%,30,52.30%,14.00%,33.70%,40.70%,20.90%,38.40%
400048,2017,ELA/Literacy Grade 3,77,733,16.90%,19.50%,29.90%,29.90%,3.90%,33.80%,42,45.50%,20.80%,33.80%,40.30%,33.80%,26.00%,42.90%,27.30%,29.90%,32,36.40%,23.40%,40.30%,42.90%,14.30%,42.90%
400049,2017,ELA/Literacy Grade 3,51,720,31.40%,27.50%,9.80%,31.40%,0.00%,31.40%,38,56.90%,15.70%,27.50%,60.80%,23.50%,15.70%,51.00%,25.50%,23.50%,28,52.90%,13.70%,33.30%,45.10%,15.70%,39.20%
400050,2017,ELA/Literacy Grade 3,59,742,11.90%,20.30%,22.00%,42.40%,3.40%,45.80%,44,52.50%,15.30%,32.20%,35.60%,25.40%,39.00%,39.00%,27.10%,33.90%,36,23.70%,16.90%,59.30%,25.40%,20.30%,54.20%
400060,2017,ELA/Literacy Grade 3,51,744,9.80%,15.70%,25.50%,45.10%,3.90%,49.00%,46,45.10%,15.70%,39.20%,29.40%,33.30%,37.30%,33.30%,19.60%,47.10%,34,27.50%,25.50%,47.10%,19.60%,13.70%,66.70%
400068,2017,ELA/Literacy Grade 3,50,707,40.00%,34.00%,16.00%,8.00%,2.00%,10.00%,32,80.00%,14.00%,6.00%,66.00%,28.00%,6.00%,72.00%,14.00%,14.00%,24,68.00%,14.00%,18.00%,60.00%,20.00%,20.00%
400069,2017,ELA/Literacy Grade 3,54,730,25.90%,11.10%,27.80%,31.50%,3.70%,35.20%,40,48.10%,29.60%,22.20%,46.30%,24.10%,29.60%,53.70%,18.50%,27.80%,31,31.50%,20.40%,48.10%,40.70%,20.40%,38.90%
400071,2017,ELA/Literacy Grade 3,67,732,13.40%,25.40%,26.90%,34.30%,0.00%,34.30%,41,46.30%,29.90%,23.90%,52.20%,29.90%,17.90%,41.80%,22.40%,35.80%,32,37.30%,20.90%,41.80%,28.40%,11.90%,59.70%
400075,2017,ELA/Literacy Grade 3,88,723,21.60%,34.10%,25.00%,18.20%,1.10%,19.30%,39,58.00%,19.30%,22.70%,44.30%,33.00%,22.70%,59.10%,14.80%,26.10%,28,58.00%,28.40%,13.60%,42.00%,25.00%,33.00%
400076,2017,ELA/Literacy Grade 3,59,747,8.50%,10.20%,35.60%,45.80%,0.00%,45.80%,46,40.70%,25.40%,33.90%,23.70%,30.50%,45.80%,40.70%,13.60%,45.80%,36,28.80%,18.60%,52.50%,15.30%,25.40%,59.30%
400079,2017,ELA/Literacy Grade 3,64,754,4.70%,17.20%,23.40%,45.30%,9.40%,54.70%,48,32.80%,28.10%,39.10%,29.70%,28.10%,42.20%,28.10%,25.00%,46.90%,38,23.40%,20.30%,56.30%,14.10%,14.10%,71.90%
400080,2017,ELA/Literacy Grade 3,62,739,8.10%,27.40%,25.80%,37.10%,1.60%,38.70%,46,43.50%,19.40%,37.10%,37.10%,35.50%,27.40%,33.90%,22.60%,43.50%,32,40.30%,27.40%,32.30%,24.20%,22.60%,53.20%
400081,2017,ELA/Literacy Grade 3,32,741,12.50%,21.90%,18.80%,43.80%,3.10%,46.90%,47,40.60%,15.60%,43.80%,34.40%,18.80%,46.90%,31.30%,25.00%,43.80%,32,31.30%,18.80%,50.00%,46.90%,15.60%,37.50%
400082,2017,ELA/Literacy Grade 3,62,741,17.70%,16.10%,33.90%,27.40%,4.80%,32.30%,46,48.40%,11.30%,40.30%,33.90%,24.20%,41.90%,40.30%,22.60%,37.10%,32,33.90%,21.00%,45.20%,40.30%,9.70%,50.00%
